Distance_um,Gray_Value
0.00000,431.000
0.22573,443.595
0.45147,456.003
0.67720,451.871
0.90293,453.560
1.12867,455.506
1.35440,461.745
1.58014,483.657
1.80587,483.142
2.03160,504.993
2.25734,562.213
2.48307,667.650
2.70880,822.467
2.93454,960.664
3.16027,1073.485
3.38600,1189.345
3.61174,1349.358
3.83747,1683.974
4.06321,2525.760
4.28894,3927.437
4.51467,4919.243
4.74041,4629.775
4.96614,3304.215
5.19187,2035.694
5.41761,1353.258
5.64334,1080.938
5.86907,943.839
6.09481,786.542
6.32054,632.243
6.54628,556.165
6.77201,521.170
6.99774,514.532
7.22348,519.614
7.44921,496.922
7.67494,477.329
7.90068,472.862
8.12641,457.973
8.35214,454.643
8.57788,455.435
8.80361,455.956
9.02935,449.167
9.25508,441.333
