Distance_(µm),Gray_Value
0.0000,418.812
0.2257,407.394
0.4515,448.823
0.6772,426.105
0.9029,433.345
1.1287,435.403
1.3544,415.510
1.5801,414.585
1.8059,423.986
2.0316,433.247
2.2573,452.779
2.4831,439.847
2.7088,435.238
2.9345,439.324
3.1603,450.905
3.3860,457.008
3.6117,477.364
3.8375,444.515
4.0632,456.698
4.2889,521.210
4.5147,665.676
4.7404,827.246
4.9661,1047.437
5.1919,1353.349
5.4176,2510.995
5.6433,5003.136
5.8691,7355.402
6.0948,6927.198
6.3205,4250.041
6.5463,2176.211
6.7720,1454.042
6.9977,1369.853
7.2235,1379.994
7.4492,1269.973
7.6749,1054.336
7.9007,867.114
8.1264,709.224
8.3521,623.573
8.5779,539.087
8.8036,519.089
9.0293,516.178
9.2551,474.162
9.4808,471.543
9.7065,469.209
9.9323,430.005
10.1580,458.749
10.3837,449.283
10.6095,423.496
10.8352,445.179
11.0609,439.756
11.2867,448.589
11.5124,444.408
11.7381,455.153
11.9639,448.656
