Distance,GrayValue
0.0000,190.500
0.2257,197.508
0.4515,190.272
0.6772,207.964
0.9029,211.245
1.1287,196.470
1.3544,178.444
1.5801,181.716
1.8059,178.366
2.0316,179.885
2.2573,206.379
2.4831,210.282
2.7088,197.788
2.9345,191.498
3.1603,181.210
3.3860,183.171
3.6117,195.766
3.8375,193.080
4.0632,196.515
4.2889,193.811
4.5147,207.771
4.7404,198.402
4.9661,195.368
5.1919,205.395
5.4176,209.730
5.6433,201.983
5.8691,186.354
6.0948,196.651
6.3205,198.293
6.5463,199.357
6.7720,198.077
6.9977,208.387
7.2235,203.584
7.4492,207.868
7.6749,231.349
7.9007,192.459
8.1264,189.846
8.3521,215.250
8.5779,210.512
8.8036,184.115
9.0293,203.053
9.2551,208.701
9.4808,197.481
9.7065,217.959
9.9323,198.312
10.1580,193.406
10.3837,205.558
10.6095,217.922
10.8352,210.515
11.0609,200.213
11.2867,217.213
11.5124,206.344
11.7381,212.331
11.9639,224.505
12.1896,215.171
12.4153,223.784
12.6411,223.245
12.8668,222.250
13.0926,220.462
13.3183,232.102
13.5440,239.821
13.7698,241.423
13.9955,247.791
14.2212,258.906
14.4470,271.132
14.6727,264.368
14.8984,272.369
15.1242,286.178
15.3499,248.173
15.5756,248.272
15.8014,257.280
16.0271,254.473
16.2528,252.222
16.4786,239.034
16.7043,226.719
16.9300,231.577
17.1558,236.486
17.3815,236.567
17.6072,246.810
17.8330,241.432
18.0587,232.935
18.2844,228.504
18.5102,262.883
18.7359,264.051
18.9616,259.268
19.1874,262.463
19.4131,288.284
19.6388,394.623
19.8646,582.159
20.0903,767.078
20.3160,1060.710
20.5418,1802.034
20.7675,3221.611
20.9932,4565.592
21.2190,4693.344
21.4447,3561.008
21.6704,2191.783
21.8962,1341.200
22.1219,1014.875
22.3476,943.245
22.5734,956.833
22.7991,882.526
23.0248,715.554
23.2506,586.438
23.4763,496.030
23.7020,425.828
23.9278,352.345
24.1535,308.526
24.3792,303.261
24.6050,283.798
24.8307,271.843
25.0564,247.209
25.2822,245.590
25.5079,239.716
25.7336,244.855
25.9594,222.804
26.1851,210.152
26.4108,222.246
26.6366,228.885
26.8623,208.838
27.0880,218.065
27.3138,225.422
27.5395,215.376
27.7652,228.152
27.9910,218.071
28.2167,234.864
28.4424,211.742
28.6682,206.249
28.8939,207.670
29.1196,182.696
29.3454,193.574
29.5711,226.113
29.7968,190.709
30.0226,200.477
30.2483,178.623
30.4740,211.405
30.6998,217.406
30.9255,214.651
31.1512,197.013
31.3770,205.770
31.6027,203.809
31.8284,209.922
32.0542,205.671
32.2799,194.384
32.5056,208.025
32.7314,208.415
32.9571,219.066
33.1828,213.665
33.4086,234.912
33.6343,229.915
33.8600,208.673
34.0858,208.736
34.3115,214.585
34.5372,220.230
34.7630,212.067
34.9887,205.831
35.2144,213.538
35.4402,206.825
35.6659,195.238
35.8916,204.158
36.1174,210.870
36.3431,217.613
36.5688,205.424
36.7946,220.008
37.0203,221.923
37.2460,207.850
37.4718,225.224
37.6975,247.766
37.9233,237.624
38.1490,209.775
38.3747,220.660
38.6005,219.145
38.8262,219.313
39.0519,231.425
39.2777,213.167
39.5034,217.549
39.7291,216.707
39.9549,236.061
40.1806,210.671
40.4063,235.567
40.6321,217.603
40.8578,226.538
41.0835,216.528
41.3093,219.117
41.5350,230.531
41.7607,215.394
41.9865,192.204
42.2122,220.182
42.4379,222.375
