Distanceum,GrayValue
0.0000,424.222
0.2257,423.428
0.4515,465.853
0.6772,437.402
0.9029,424.634
1.1287,425.311
1.3544,423.496
1.5801,411.440
1.8059,414.352
2.0316,416.454
2.2573,421.390
2.4831,432.941
2.7088,430.649
2.9345,428.217
3.1603,427.015
3.3860,531.021
3.6117,631.710
3.8375,499.651
4.0632,472.857
4.2889,439.493
4.5147,490.073
4.7404,490.001
4.9661,496.321
5.1919,546.844
5.4176,657.641
5.6433,783.143
5.8691,957.200
6.0948,1143.201
6.3205,1417.919
6.5463,1770.110
6.7720,2298.350
6.9977,3304.171
7.2235,4816.872
7.4492,5031.625
7.6749,4227.731
7.9007,2679.343
8.1264,1632.010
8.3521,1107.295
8.5779,871.082
8.8036,799.854
9.0293,706.330
9.2551,586.099
9.4808,514.322
9.7065,474.461
9.9323,480.272
10.1580,469.277
10.3837,480.092
10.6095,480.504
10.8352,463.581
11.0609,469.391
11.2867,444.298
11.5124,421.638
11.7381,447.317
11.9639,457.490
12.1896,459.834
12.4153,469.744
12.6411,456.982
12.8668,446.868
13.0926,446.617
13.3183,437.502
13.5440,437.401
13.7698,461.901
13.9955,437.047
14.2212,445.747
14.4470,452.726
14.6727,461.637
14.8984,457.000
